timestamp,model_score,alert_threshold,status,largest_recent_deviation_channel,largest_recent_deviation_standardized,source,instant_alert,active_alert
2013-09-30 00:00:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:01:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:02:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:03:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:04:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:05:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:06:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:07:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:08:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:09:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:10:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:11:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:12:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:13:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:14:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:15:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:16:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:17:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:18:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:19:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:20:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:21:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:22:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:23:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:24:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:25:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:26:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:27:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:28:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:29:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:30:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:31:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:32:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:33:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:34:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:35:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:36:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:37:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:38:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
2013-09-30 00:39:00+00:00,,7.818993126201719,UNSCORED,,,USER-SUPPLIED TELEMETRY — origin not verified,False,False
